,Unnamed: 0,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Driving_Experience,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
33,35,200501BS00028,1,3,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,61.171436800880315,28.994136011749042,120.0,1.0,4.0,10.0,1.0
31612,40530,200501XD80782,2,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,78.17143680088031,38.99413601174904,,,,2.0,1.0
17206,22057,200501PL60666,2,9,0.0,12,0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,57.171436800880315,28.994136011749042,1600.0,1.0,5.0,,
19578,25096,200501QA10503,1,9,0.0,3,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,67.17143680088031,33.99413601174904,1984.0,1.0,9.0,6.0,1.0
12091,15403,200501KF60185,1,9,0.0,4,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,50.171436800880315,23.994136011749042,1995.0,1.0,4.0,2.0,1.0
17042,21842,200501PL60517,1,9,0.0,10,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,61.171436800880315,28.994136011749042,1995.0,2.0,3.0,5.0,1.0
29970,38369,200501WW50329,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,44.171436800880315,18.994136011749042,1587.0,1.0,10.0,2.0,1.0
5478,6838,200501FH10032,2,1,0.0,18,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,60.171436800880315,28.994136011749042,,,,1.0,1.0
17347,22242,200501PL60782,2,9,0.0,16,0,0.0,0.0,10.0,7.0,10.0,1.0,1.0,15.0,2,39.97936564625467,7.753372959296922,998.0,1.0,3.0,2.0,1.0
34810,44680,200501YR90244,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,49.97936564625467,17.75337295929692,2979.0,1.0,2.0,3.0,1.0
28783,36866,200501VW40005,3,9,0.0,3,0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,63.97936564625467,22.753372959296918,1998.0,1.0,7.0,5.0,1.0
19282,24707,200501QA10256,2,9,0.0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,69.97936564625468,27.753372959296918,,,,6.0,1.0
3397,4221,200501EK40076,2,4,0.0,7,0,1.0,0.0,7.0,1.0,0.0,1.0,1.0,15.0,1,61.97936564625467,22.753372959296918,,,,6.0,1.0
38893,49669,2005030001748,2,9,0.0,10,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2,81.97936564625468,32.75337295929692,998.0,1.0,5.0,6.0,2.0
13629,17450,200501KG70554,2,9,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,73.97936564625468,27.753372959296918,1998.0,1.0,6.0,2.0,1.0
35268,45315,200501YR90722,1,9,0.0,8,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,46.97936564625467,17.75337295929692,1597.0,1.0,13.0,3.0,1.0
15944,20417,200501MM70863,1,3,0.0,18,0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,2,49.97936564625467,17.75337295929692,124.0,1.0,1.0,3.0,1.0
